location_key,city,state_abbreviation,state_fips,zip_code,ruca_code,ruca_description,country
52,Kendall Park,NJ,34,08824,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
53,Seattle,WA,53,98104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
54,Tustin,CA,06,92780,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
55,Dallas,TX,48,75231,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
56,Port Jefferson Station,NY,36,11776,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
57,Smithville,TX,48,78957,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
58,Dallas,TX,48,75390,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
59,Corpus Christi,TX,48,78411,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
60,Wellington,FL,12,33414,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
61,Littleton,CO,08,80120,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
62,Old Bridge,NJ,34,08857,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
63,Lewiston,ME,23,04240,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
64,Maple Grove,MN,27,55369,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
65,Torrington,CT,09,06790,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
66,Oxnard,CA,06,93030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
67,Concord Twp,OH,39,44077,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
68,New York,NY,36,10065,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
69,Palos Heights,IL,17,60463,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
70,Westerville,OH,39,43081,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
71,Rochester,MN,27,55905,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
72,Tomball,TX,48,77375,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
73,Thomaston,GA,13,30286,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
74,Chapel Hill,NC,37,27599,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
75,North Las Vegas,NV,32,89032,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
76,Fairfax,VA,51,22031,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
77,Memphis,TN,47,38103,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
78,Greensboro,NC,37,27401,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
79,Fort Meade,FL,12,33841,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
80,Silver Spring,MD,24,20910,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
81,Laurel,MS,28,39440,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
82,Ireton,IA,19,51027,7.0,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",US
83,Virginia Beach,VA,51,23462,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
84,Fargo,ND,38,58103,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
85,Williamsville,NY,36,14221,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
86,Boise,ID,16,83706,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
87,Baltimore,MD,24,21202,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
88,Ord,NE,31,68862,10.0,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",US
89,Dallas,TX,48,75246,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
90,Scottsdale,AZ,04,85255,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
91,West Columbia,SC,45,29169,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
92,Chicago,IL,17,60657,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
93,Conroe,TX,48,77304,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US
94,Yakima,WA,53,98901,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
95,San Antonio,TX,48,78261,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
96,Spartanburg,SC,45,29307,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
97,Minneapolis,MN,27,55404,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
98,Conifer,CO,08,80433,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
99,Chambersburg,PA,42,17201,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
100,New Braunfels,TX,48,78130,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
101,Worcester,MA,25,01609,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
102,Johnsonburg,PA,42,15845,8.0,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",US
103,Bethlehem,PA,42,18015,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
104,Amherst,NY,36,14226,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
105,Charlotte,NC,37,28211,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
106,Birmingham,AL,01,35243,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
107,North Babylon,NY,36,11703,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
108,London,KY,21,40741,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
109,Brunswick,GA,13,31520,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
110,Boston,MA,25,02115,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
111,Minneapolis,MN,27,55415,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
112,Caguas,PR,72,00725,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
113,Park Rapids,MN,27,56470,7.0,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",US
114,Sarasota,FL,12,34233,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
115,Bryn Mawr,PA,42,19010,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
116,Modesto,CA,06,95355,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
117,Cedar Park,TX,48,78613,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
118,Oakland,CA,06,94606,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
119,Lovettsville,VA,51,20180,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
120,Bellingham,WA,53,98226,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
121,Stuart,FL,12,34996,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
122,San Angelo,TX,48,76904,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
123,Honolulu,HI,15,96819,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
124,Atlanta,GA,13,30322,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
125,Orlando,FL,12,32825,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
126,Bridgeport,CT,09,06610,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
127,Irving,TX,48,75038,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
128,Auburn,NY,36,13021,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
129,East Lansing,MI,26,48823,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
130,Kirkland,WA,53,98034,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
131,Wakefield,RI,44,02879,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
132,Bell,FL,12,32619,10.0,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",US
133,Peoria,AZ,04,85381,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
134,Greensboro,NC,37,27407,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
135,Katy,TX,48,77494,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
136,Lancaster,PA,42,17602,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
137,Brooklyn,NY,36,11217,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
138,Apple Valley,CA,06,92307,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
139,Parrish,FL,12,34219,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
140,Hilo,HI,15,96720,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
141,Gainesville,FL,12,32610,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
142,Jacksonville,FL,12,32257,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
143,New York,NY,36,10029,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
144,Asheboro,NC,37,27203,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
145,Fort Thomas,KY,21,41075,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
146,Bismarck,ND,38,58501,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
147,Anthem,AZ,04,85086,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
148,Houston,TX,48,77057,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
149,Amsterdam,NY,36,12010,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
150,Van Nuys,CA,06,91405,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
151,Johnstown,CO,08,80534,9.0,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",US
152,Hutchinson,MN,27,55350,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
153,Winston Salem,NC,37,27157,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
154,St Petersburg,FL,12,33709,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
155,Carrollton,TX,48,75010,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
156,Colorado Springs,CO,08,80910,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
157,Chicago,IL,17,60611,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
158,Fountain Valley,CA,06,92708,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
159,Hilliard,OH,39,43026,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
160,Somerset,NJ,34,08873,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
161,Naples,FL,12,34112,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
162,Baltimore,MD,24,21229,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
163,Pensacola,FL,12,32514,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
164,Minneapolis,MN,27,55455,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
165,Loveland,CO,08,80537,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
166,Altoona,PA,42,16601,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
167,Hickory,NC,37,28601,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
168,Boston,MA,25,02114,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
169,Hunt Valley,MD,24,21030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
170,Skokie,IL,17,60077,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
171,Oregon,OH,39,43616,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
172,Birmingham,AL,01,35233,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
173,Belleville,NJ,34,07109,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
174,Lynnwood,WA,53,98036,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
175,West Covina,CA,06,91790,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
176,Chicago,IL,17,60634,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
177,Staten Island,NY,36,10308,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
178,Providence,RI,44,02903,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
179,Knoxville,TN,47,37919,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
180,Washington,DC,11,20060,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
181,Saint Croix Falls,WI,55,54024,10.0,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",US
182,Media,PA,42,19063,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
183,Charlottesville,VA,51,22903,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
184,Rupert,ID,16,83350,7.0,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",US
185,Merced,CA,06,95340,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
186,Columbus,OH,39,43220,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
187,Fort Wayne,IN,18,46804,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
188,Pompton Plains,NJ,34,07444,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
189,Crittenden,KY,21,41030,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
190,Stanford,CA,06,94305,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
191,Norfolk,VA,51,23502,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
192,Albuquerque,NM,35,87131,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
193,Flint,MI,26,48532,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
194,Bethlehem,PA,42,18017,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
195,Roseville,MN,27,55113,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
196,Pleasant Hill,CA,06,94523,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
197,Tulsa,OK,40,74136,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
198,Columbus,GA,13,31901,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
199,Walnut Creek,CA,06,94596,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
200,Cumming,GA,13,30040,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
201,Holmdel,NJ,34,07733,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
202,Henderson,NV,32,89052,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
203,Doylestown,PA,42,18901,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
204,Hastings,MN,27,55033,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",US
205,Pittsburgh,PA,42,15261,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
206,Clarksville,TN,47,37043,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
207,Charlottesville,VA,51,22908,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
208,Sugar Hill,GA,13,30518,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
209,Santa Cruz,CA,06,95060,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
210,Stockton,CA,06,95209,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
211,Little Rock,AR,05,72205,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
212,Grand Rapids,MI,26,49503,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
213,Newport Beach,CA,06,92663,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
214,Allentown,PA,42,18103,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
215,New York,NY,36,10032,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
216,Morgantown,WV,54,26501,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
217,Montpelier,VT,50,05602,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
218,Columbia,SC,45,29204,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
219,Richmond,IN,18,47374,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
220,Vallejo,CA,06,94589,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
221,Norman,OK,40,73071,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",US
222,High Point,NC,37,27262,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
223,Denver,CO,08,80205,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
224,Lakeland,FL,12,33801,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
225,Dearborn Heights,MI,26,48127,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
226,Royal Oak,MI,26,48073,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
227,Nashville,TN,47,37203,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
228,Greenwood,SC,45,29646,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
229,Casa Grande,AZ,04,85122,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
230,Muskogee,OK,40,74403,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
231,Lake Barrington,IL,17,60010,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
232,Ephrata,PA,42,17522,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
233,Jackson,MS,28,39216,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
234,Huntsville,AL,01,35801,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
235,Guntersville,AL,01,35976,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
236,Greeley,CO,08,80634,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
237,Vienna,VA,51,22182,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
238,Akron,OH,39,44304,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
239,Morristown,NJ,34,07960,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
240,Oak Lawn,IL,17,60453,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
241,St Louis Park,MN,27,55416,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
242,Dallas,TX,48,75235,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
243,Manchester,NH,33,03104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
244,Newburgh,IN,18,47630,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
245,Jacksonville,FL,12,32224,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
246,Fargo,ND,38,58104,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
247,Murrayville,IL,17,62668,5.0,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",US
248,Twin Falls,ID,16,83301,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
249,Harlingen,TX,48,78550,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
250,Peoria,IL,17,61537,10.1,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",US
251,San Marcos,TX,48,78666,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US
252,Modesto,CA,06,95351,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
253,Apo,AE,9B,09042,,,US
254,Lawrenceville,GA,13,30046,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
255,Vacaville,CA,06,95687,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
256,Columbus,OH,39,43210,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
257,Naperville,IL,17,60540,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
258,Phoenix,AZ,04,85050,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
259,Lubbock,TX,48,79415,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
260,Brooklyn,NY,36,11220,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US
